iter	Passed	Remaining
0	1	176
1	3	164
2	4	157
3	6	149
4	7	146
5	9	141
6	10	138
7	11	137
8	13	134
9	14	132
10	16	131
11	17	128
12	18	126
13	20	125
14	21	123
15	23	121
16	24	120
17	26	119
18	27	117
19	29	116
20	30	115
21	32	114
22	33	112
23	35	111
24	36	109
25	38	108
26	39	106
27	40	104
28	41	102
29	43	100
30	44	98
31	45	96
32	46	95
33	47	92
34	48	90
35	49	88
36	50	85
37	51	83
38	52	81
39	53	79
40	53	77
41	54	75
42	55	73
43	56	71
44	57	69
45	57	67
46	58	66
47	59	64
48	60	62
49	61	61
50	61	59
51	62	57
52	63	56
53	64	54
54	65	53
55	66	51
56	67	50
57	67	49
58	68	47
59	69	46
60	70	44
61	71	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	80	28
74	81	27
75	82	26
76	83	24
77	83	23
78	84	22
79	85	21
80	85	20
81	86	19
82	87	17
83	88	16
84	89	15
85	90	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	94	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
