iter	RMSE
0	13.99244012
1	13.86409081
2	13.74445532
3	13.63198208
4	13.55046978
5	13.45457186
6	13.37054329
7	13.29464022
8	13.22438915
9	13.17296728
10	13.11290473
11	13.07039696
12	13.01420069
13	12.97141585
14	12.92605383
15	12.88703679
16	12.85368436
17	12.82108138
18	12.79432775
19	12.76392053
20	12.73913324
21	12.71213363
22	12.69170444
23	12.67491013
24	12.65398579
25	12.63721452
26	12.62728286
27	12.61390496
28	12.59712459
29	12.58931095
30	12.57967724
31	12.5698244
32	12.56176579
33	12.55612805
34	12.54672107
35	12.54208773
36	12.53568453
37	12.52771603
38	12.52289221
39	12.52126485
40	12.51594938
41	12.51305383
42	12.50988865
43	12.50702166
44	12.50290841
45	12.49973581
46	12.4975428
47	12.49071947
48	12.48460242
49	12.47987967
