iter	Passed	Remaining
0	151	151724
1	153	76588
2	154	51410
3	155	38799
4	159	31688
5	161	26693
6	162	23090
7	164	20341
8	165	18192
9	166	16493
10	168	15117
11	169	13970
12	171	13002
13	174	12272
14	175	11526
15	176	10868
16	178	10293
17	179	9769
18	180	9309
19	181	8897
20	182	8522
21	184	8189
22	185	7880
23	187	7609
24	190	7428
25	192	7198
26	193	6969
27	194	6755
28	196	6572
29	197	6401
30	200	6272
31	205	6214
32	209	6137
33	211	5999
34	212	5856
35	214	5732
36	215	5614
37	219	5554
38	222	5472
39	223	5366
40	224	5257
41	226	5162
42	227	5064
43	228	4970
44	229	4880
45	232	4818
46	235	4769
47	239	4751
48	240	4674
49	242	4599
50	243	4528
51	244	4460
52	247	4417
53	249	4369
54	253	4356
55	255	4308
56	257	4255
57	259	4209
58	260	4160
59	263	4127
60	267	4122
61	271	4104
62	273	4067
63	275	4026
64	277	3998
65	281	3985
66	284	3955
67	286	3924
68	288	3897
69	289	3852
70	292	3820
71	294	3800
72	297	3783
73	299	3747
74	300	3711
75	302	3677
76	303	3643
77	305	3609
78	307	3584
79	310	3573
80	312	3543
81	313	3511
82	314	3474
83	315	3441
84	317	3412
85	318	3384
86	319	3357
87	322	3346
88	325	3336
89	327	3314
90	329	3292
91	331	3271
92	333	3255
93	336	3239
94	339	3237
95	342	3225
96	344	3203
97	345	3183
98	347	3162
99	348	3139
100	352	3137
101	355	3131
102	357	3110
103	358	3088
104	359	3066
105	361	3044
106	362	3024
107	363	3004
108	371	3034
109	372	3016
110	373	2994
111	375	2973
112	376	2956
113	377	2936
114	379	2919
115	383	2924
116	385	2907
117	386	2889
118	388	2874
119	389	2857
120	390	2839
121	392	2821
122	393	2806
123	394	2789
124	397	2780
125	399	2768
126	400	2750
127	401	2736
128	403	2722
129	404	2707
130	406	2694
131	407	2680
132	409	2667
133	412	2665
134	415	2659
135	416	2645
136	417	2632
137	419	2619
138	420	2607
139	422	2595
140	423	2581
141	424	2564
142	427	2564
143	429	2555
144	431	2542
145	432	2530
146	434	2519
147	435	2509
148	437	2500
149	439	2488
150	440	2479
151	443	2473
152	445	2463
153	446	2453
154	447	2440
155	448	2429
156	450	2417
157	451	2408
158	453	2398
159	454	2387
160	455	2375
161	458	2374
162	460	2366
163	462	2358
164	464	2349
165	465	2339
166	466	2328
167	468	2320
168	470	2313
169	472	2309
170	475	2303
171	476	2293
172	478	2285
173	479	2278
174	481	2268
175	482	2258
176	483	2248
177	484	2239
178	488	2240
179	490	2232
180	491	2225
181	493	2218
182	495	2210
183	496	2203
184	498	2196
185	500	2188
186	503	2187
187	505	2185
188	507	2178
189	509	2170
190	510	2162
191	511	2153
192	513	2145
193	514	2137
194	515	2130
195	518	2128
196	520	2120
197	521	2112
198	522	2104
199	524	2096
200	525	2087
201	526	2080
202	528	2073
203	529	2066
204	532	2065
205	533	2058
206	535	2050
207	536	2043
208	538	2036
209	539	2029
210	541	2023
211	542	2016
212	543	2009
213	545	2002
214	547	1999
215	549	1993
216	550	1987
217	551	1979
218	553	1972
219	554	1964
220	555	1958
221	556	1951
222	557	1944
223	559	1937
224	560	1929
225	562	1926
226	564	1923
227	566	1918
228	568	1913
229	569	1907
230	571	1902
231	572	1896
232	575	1893
233	577	1891
234	578	1884
235	579	1877
236	581	1870
237	582	1863
238	583	1857
239	584	1851
240	585	1844
241	587	1838
242	588	1833
243	589	1828
244	592	1827
245	594	1822
246	595	1815
247	596	1810
248	598	1803
249	599	1798
250	600	1792
251	601	1786
252	602	1780
253	604	1774
254	606	1770
255	608	1767
256	609	1762
257	610	1756
258	612	1751
259	613	1746
260	615	1741
261	616	1736
262	617	1731
263	619	1726
264	622	1725
265	623	1720
266	625	1716
267	626	1710
268	627	1704
269	628	1699
270	630	1695
271	631	1689
272	632	1684
273	633	1679
274	639	1684
275	640	1680
276	642	1676
277	643	1671
278	644	1666
279	646	1662
280	647	1657
281	649	1652
282	652	1654
283	654	1650
284	656	1646
285	657	1641
286	658	1636
287	660	1631
288	661	1626
289	662	1622
290	664	1618
291	666	1614
292	668	1611
293	669	1608
294	671	1604
295	672	1600
296	674	1596
297	675	1592
298	677	1587
299	678	1583
300	680	1580
301	683	1579
302	684	1575
303	685	1570
304	687	1565
305	688	1560
306	689	1556
307	690	1552
308	692	1547
309	693	1543
310	695	1539
311	697	1538
312	698	1533
313	700	1529
314	701	1525
315	702	1520
316	703	1516
317	705	1512
318	706	1507
319	707	1504
320	712	1506
321	713	1502
322	714	1497
323	715	1493
324	716	1489
325	718	1485
326	719	1481
327	720	1476
328	722	1472
329	723	1468
330	724	1463
331	726	1462
332	728	1459
333	729	1455
334	731	1451
335	732	1447
336	733	1442
337	734	1438
338	735	1434
339	736	1429
340	737	1425
341	738	1421
342	742	1421
343	743	1418
344	745	1414
345	746	1410
346	747	1407
347	749	1403
348	750	1399
349	751	1396
350	753	1392
351	756	1393
352	758	1390
353	759	1386
354	761	1382
355	762	1379
356	763	1375
357	764	1371
358	766	1368
359	767	1364
360	768	1360
361	771	1359
362	773	1357
363	775	1354
364	776	1351
365	777	1347
366	778	1343
367	779	1339
368	781	1335
369	782	1331
370	783	1328
371	786	1327
372	788	1326
373	789	1322
374	791	1318
375	792	1314
376	793	1311
377	794	1307
378	795	1303
379	796	1300
380	797	1296
381	798	1292
382	802	1293
383	804	1290
384	805	1286
385	806	1283
386	808	1280
387	809	1276
388	810	1272
389	811	1269
390	812	1266
391	814	1262
392	815	1259
393	817	1257
394	819	1255
395	820	1251
396	822	1248
397	823	1245
398	824	1242
399	826	1239
400	827	1236
401	829	1233
402	832	1232
403	834	1230
404	835	1227
405	836	1223
406	837	1220
407	838	1217
408	840	1214
409	841	1211
410	843	1208
411	846	1207
412	848	1205
413	849	1202
414	851	1199
415	852	1196
416	854	1193
417	855	1191
418	857	1188
419	858	1185
420	860	1184
421	863	1183
422	865	1180
423	866	1177
424	867	1173
425	869	1171
426	870	1167
427	871	1164
428	872	1161
429	874	1158
430	875	1156
431	878	1154
432	879	1151
433	880	1148
434	882	1145
435	883	1143
436	885	1140
437	886	1137
438	888	1135
439	891	1135
440	893	1132
441	894	1129
442	896	1126
443	897	1123
444	898	1120
445	899	1117
446	902	1116
447	906	1116
448	909	1116
449	911	1114
450	912	1111
451	913	1107
452	915	1105
453	917	1102
454	918	1100
455	920	1098
456	924	1098
457	926	1095
458	927	1093
459	928	1090
460	929	1087
461	931	1084
462	932	1081
463	933	1078
464	936	1077
465	937	1074
466	939	1072
467	940	1069
468	942	1067
469	943	1064
470	945	1061
471	946	1059
472	948	1056
473	952	1056
474	954	1055
475	956	1052
476	957	1050
477	959	1047
478	960	1045
479	962	1042
480	963	1039
481	965	1037
482	968	1036
483	969	1033
484	970	1030
485	971	1027
486	973	1025
487	974	1022
488	975	1019
489	977	1017
490	978	1014
491	981	1013
492	983	1011
493	984	1008
494	986	1005
495	987	1003
496	988	1000
497	990	998
498	991	995
499	992	992
500	998	994
501	1000	992
502	1002	990
503	1003	987
504	1005	985
505	1006	982
506	1007	979
507	1008	976
508	1011	976
509	1013	973
510	1015	971
511	1016	969
512	1018	966
513	1019	964
514	1021	961
515	1022	959
516	1026	958
517	1028	956
518	1029	953
519	1030	951
520	1031	948
521	1032	945
522	1034	943
523	1036	941
524	1037	939
525	1041	938
526	1045	938
527	1047	936
528	1049	934
529	1050	931
530	1052	929
531	1053	926
532	1066	934
533	1068	932
534	1069	929
535	1074	929
536	1075	927
537	1083	930
538	1087	930
539	1090	929
540	1092	927
541	1095	925
542	1107	932
543	1110	930
544	1112	928
545	1114	926
546	1118	926
547	1121	925
548	1123	922
549	1125	921
550	1127	919
551	1130	917
552	1134	916
553	1138	916
554	1140	914
555	1143	912
556	1145	910
557	1149	910
558	1151	908
559	1153	906
560	1155	904
561	1163	906
562	1165	904
563	1167	902
564	1169	900
565	1171	898
566	1173	895
567	1174	893
568	1181	894
569	1183	892
570	1185	890
571	1186	887
572	1188	885
573	1190	883
574	1194	882
575	1196	880
576	1199	879
577	1201	877
578	1203	874
579	1204	872
580	1211	873
581	1214	872
582	1216	870
583	1218	867
584	1220	865
585	1223	864
586	1227	863
587	1229	861
588	1233	860
589	1235	858
590	1236	855
591	1239	854
592	1243	853
593	1245	851
594	1247	849
595	1249	847
596	1251	845
597	1254	843
598	1256	841
599	1258	839
600	1261	837
601	1262	834
602	1264	832
603	1266	830
604	1268	827
605	1271	826
606	1273	824
607	1275	822
608	1277	820
609	1278	817
610	1281	815
611	1283	814
612	1286	812
613	1288	810
614	1290	807
615	1292	805
616	1294	803
617	1296	801
618	1299	799
619	1301	797
620	1302	794
621	1304	792
622	1305	790
623	1306	787
624	1308	785
625	1309	782
626	1311	780
627	1313	778
628	1317	776
629	1318	774
630	1320	772
631	1321	769
632	1323	767
633	1324	764
634	1325	762
635	1331	762
636	1333	759
637	1335	757
638	1336	754
639	1337	752
640	1339	750
641	1341	748
642	1344	746
643	1346	744
644	1348	742
645	1350	740
646	1352	737
647	1354	735
648	1359	735
649	1363	734
650	1365	732
651	1367	730
652	1369	727
653	1372	726
654	1376	725
655	1378	722
656	1380	720
657	1382	718
658	1384	716
659	1386	714
660	1390	713
661	1392	711
662	1394	708
663	1395	706
664	1397	703
665	1398	701
666	1400	699
667	1401	696
668	1405	695
669	1408	693
670	1410	691
671	1412	689
672	1414	687
673	1416	685
674	1419	683
675	1422	681
676	1424	679
677	1427	677
678	1429	675
679	1431	673
680	1433	671
681	1435	669
682	1436	666
683	1437	664
684	1439	661
685	1440	659
686	1441	656
687	1443	654
688	1445	652
689	1446	649
690	1450	648
691	1453	646
692	1454	644
693	1456	642
694	1457	639
695	1459	637
696	1460	634
697	1462	632
698	1465	631
699	1467	628
700	1468	626
701	1470	624
702	1472	622
703	1474	619
704	1475	617
705	1478	615
706	1480	613
707	1481	611
708	1483	608
709	1484	606
710	1486	604
711	1487	601
712	1488	599
713	1490	597
714	1492	595
715	1495	593
716	1497	591
717	1499	588
718	1501	586
719	1503	584
720	1505	582
721	1508	581
722	1511	579
723	1512	576
724	1515	574
725	1517	572
726	1518	570
727	1519	567
728	1521	565
729	1523	563
730	1526	561
731	1528	559
732	1529	557
733	1531	554
734	1532	552
735	1533	550
736	1535	547
737	1538	546
738	1542	544
739	1544	542
740	1546	540
741	1547	538
742	1549	535
743	1550	533
744	1553	531
745	1555	529
746	1557	527
747	1559	525
748	1560	523
749	1561	520
750	1562	518
751	1564	515
752	1567	514
753	1569	512
754	1570	509
755	1572	507
756	1573	505
757	1574	502
758	1575	500
759	1577	498
760	1578	495
761	1579	493
762	1582	491
763	1585	489
764	1587	487
765	1588	485
766	1590	483
767	1591	480
768	1592	478
769	1594	476
770	1596	474
771	1598	471
772	1599	469
773	1601	467
774	1602	465
775	1603	462
776	1605	460
777	1606	458
778	1607	456
779	1609	453
780	1612	452
781	1613	449
782	1615	447
783	1616	445
784	1617	443
785	1618	440
786	1619	438
787	1621	436
788	1622	433
789	1623	431
790	1625	429
791	1627	427
792	1629	425
793	1630	423
794	1632	420
795	1633	418
796	1634	416
797	1636	414
798	1637	411
799	1638	409
800	1640	407
801	1643	405
802	1644	403
803	1645	401
804	1646	398
805	1648	396
806	1649	394
807	1650	392
808	1652	390
809	1653	387
810	1656	386
811	1658	383
812	1659	381
813	1660	379
814	1662	377
815	1663	375
816	1664	372
817	1665	370
818	1667	368
819	1668	366
820	1669	364
821	1673	362
822	1675	360
823	1676	358
824	1678	355
825	1679	353
826	1680	351
827	1682	349
828	1683	347
829	1686	345
830	1688	343
831	1690	341
832	1691	339
833	1692	336
834	1694	334
835	1695	332
836	1697	330
837	1699	328
838	1701	326
839	1702	324
840	1704	322
841	1705	320
842	1707	317
843	1708	315
844	1709	313
845	1710	311
846	1712	309
847	1713	307
848	1715	305
849	1716	302
850	1718	300
851	1720	298
852	1721	296
853	1722	294
854	1723	292
855	1724	290
856	1725	287
857	1727	285
858	1728	283
859	1729	281
860	1731	279
861	1733	277
862	1734	275
863	1735	273
864	1737	271
865	1738	268
866	1739	266
867	1740	264
868	1741	262
869	1742	260
870	1743	258
871	1746	256
872	1747	254
873	1748	252
874	1749	249
875	1750	247
876	1752	245
877	1753	243
878	1754	241
879	1755	239
880	1757	237
881	1758	235
882	1760	233
883	1762	231
884	1764	229
885	1765	227
886	1767	225
887	1768	223
888	1769	220
889	1771	218
890	1772	216
891	1774	214
892	1777	212
893	1778	210
894	1780	208
895	1781	206
896	1783	204
897	1784	202
898	1786	200
899	1787	198
900	1790	196
901	1791	194
902	1792	192
903	1793	190
904	1795	188
905	1796	186
906	1798	184
907	1799	182
908	1801	180
909	1802	178
910	1804	176
911	1806	174
912	1808	172
913	1810	170
914	1811	168
915	1812	166
916	1814	164
917	1815	162
918	1816	160
919	1819	158
920	1823	156
921	1825	154
922	1826	152
923	1828	150
924	1829	148
925	1831	146
926	1832	144
927	1835	142
928	1837	140
929	1839	138
930	1840	136
931	1841	134
932	1843	132
933	1844	130
934	1846	128
935	1848	126
936	1851	124
937	1854	122
938	1855	120
939	1857	118
940	1858	116
941	1860	114
942	1861	112
943	1865	110
944	1868	108
945	1870	106
946	1871	104
947	1872	102
948	1873	100
949	1875	98
950	1876	96
951	1878	94
952	1881	92
953	1883	90
954	1885	88
955	1886	86
956	1888	84
957	1889	82
958	1890	80
959	1891	78
960	1894	76
961	1896	74
962	1898	72
963	1900	70
964	1901	68
965	1902	66
966	1904	64
967	1905	62
968	1907	61
969	1910	59
970	1912	57
971	1914	55
972	1915	53
973	1917	51
974	1918	49
975	1919	47
976	1921	45
977	1923	43
978	1926	41
979	1927	39
980	1928	37
981	1929	35
982	1930	33
983	1932	31
984	1933	29
985	1934	27
986	1935	25
987	1936	23
988	1938	21
989	1941	19
990	1942	17
991	1944	15
992	1945	13
993	1946	11
994	1947	9
995	1949	7
996	1950	5
997	1951	3
998	1954	1
999	1956	0
